Category: All categories,,,,,,,,,,,,
,,,,,,,,,,,,
Day,Houston Rockets: (Worldwide),New York Knicks: (Worldwide),,,,,,,,,,
10/25/2016,23,61,,,,,,,,,,
10/26/2016,35,100,,,,,,,,,,
10/27/2016,100,30,,,,,,,,,,
10/28/2016,32,23,,,,,,,,,,
10/29/2016,39,34,,,,,,,,,,
10/30/2016,27,56,,,,,,,,,,
10/31/2016,40,28,,,,,,,,,,
11/1/2016,54,31,,,,,,,,,,
11/2/2016,52,42,,,,,,,,,,
11/3/2016,43,40,,,,,,,,,,
11/4/2016,26,29,,,,,,,,,,
11/5/2016,25,66,,,,,,,,,,
11/6/2016,31,43,,,,,,,,,,
11/7/2016,25,23,,,,,,,,,,
11/8/2016,33,19,,,,,,,,,,
,,,,Training Data,,,,,,,Viewership,
,,,,NYK,2016-17,21600028,10/29/2016,MEM,NYK,C176,7700,
,,,,HOU,2016-17,21600013,10/26/2016,HOU,LAL,C176,8200,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,Predicted,,,,,,,
,,,,,2016-17,21600058,11/2/2016,HOU,NYK,C176,4500,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,56,7700,,,,,
,,,,,,40,4500,,,4513,,0.002888889
,,,,,Ratio ,0.714285714,5500,Projected,,,,
,,,,,,100,8200,,,,,
,,,,,,43,4500,Predicted,,,,
,,,,,,0.43,3526,Projected,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,Weighting by team,,,,,,,
,,,,,It seems like Houston Rockets is a better team than New York Knicks? They have a broader following than other teams ,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
