,Season,Game_ID,Game_Date,Away_Team,Home_Team,Country,Rounded Viewers
3884,2016-17,21600028,10/29/2016,MEM,NYK,C19,1
3885,2016-17,21600028,10/29/2016,MEM,NYK,C113,11
3886,2016-17,21600028,10/29/2016,MEM,NYK,C193,1
3887,2016-17,21600028,10/29/2016,MEM,NYK,C126,2
3888,2016-17,21600028,10/29/2016,MEM,NYK,C163,6
3889,2016-17,21600028,10/29/2016,MEM,NYK,C128,2
3890,2016-17,21600028,10/29/2016,MEM,NYK,C208,236
3891,2016-17,21600028,10/29/2016,MEM,NYK,C67,1
3892,2016-17,21600028,10/29/2016,MEM,NYK,C177,2
3893,2016-17,21600028,10/29/2016,MEM,NYK,C176,7700
3894,2016-17,21600028,10/29/2016,MEM,NYK,C124,174
3895,2016-17,21600028,10/29/2016,MEM,NYK,C189,4
3896,2016-17,21600028,10/29/2016,MEM,NYK,C224,20
3897,2016-17,21600028,10/29/2016,MEM,NYK,C51,11
3898,2016-17,21600028,10/29/2016,MEM,NYK,C42,1
3899,2016-17,21600028,10/29/2016,MEM,NYK,C212,22
3900,2016-17,21600028,10/29/2016,MEM,NYK,C201,5
3901,2016-17,21600028,10/29/2016,MEM,NYK,C199,260
3902,2016-17,21600028,10/29/2016,MEM,NYK,C166,1
3903,2016-17,21600028,10/29/2016,MEM,NYK,C46,1
3904,2016-17,21600028,10/29/2016,MEM,NYK,C89,1
3905,2016-17,21600028,10/29/2016,MEM,NYK,C139,1
3906,2016-17,21600028,10/29/2016,MEM,NYK,C14,20
3907,2016-17,21600028,10/29/2016,MEM,NYK,C172,2
3908,2016-17,21600028,10/29/2016,MEM,NYK,C183,889
3909,2016-17,21600028,10/29/2016,MEM,NYK,C99,4
3910,2016-17,21600028,10/29/2016,MEM,NYK,C91,30
3911,2016-17,21600028,10/29/2016,MEM,NYK,C59,9
3912,2016-17,21600028,10/29/2016,MEM,NYK,C125,1
3913,2016-17,21600028,10/29/2016,MEM,NYK,C169,2490
3914,2016-17,21600028,10/29/2016,MEM,NYK,C38,17
3915,2016-17,21600028,10/29/2016,MEM,NYK,C116,180
3916,2016-17,21600028,10/29/2016,MEM,NYK,C62,3
3917,2016-17,21600028,10/29/2016,MEM,NYK,C101,63
3918,2016-17,21600028,10/29/2016,MEM,NYK,C55,1
3919,2016-17,21600028,10/29/2016,MEM,NYK,C190,64
3920,2016-17,21600028,10/29/2016,MEM,NYK,C145,2
3921,2016-17,21600028,10/29/2016,MEM,NYK,C50,123
3922,2016-17,21600028,10/29/2016,MEM,NYK,C35,15
3923,2016-17,21600028,10/29/2016,MEM,NYK,C71,39
3924,2016-17,21600028,10/29/2016,MEM,NYK,C182,244
3925,2016-17,21600028,10/29/2016,MEM,NYK,C44,6
3926,2016-17,21600028,10/29/2016,MEM,NYK,C122,182
3927,2016-17,21600028,10/29/2016,MEM,NYK,C31,32
3928,2016-17,21600028,10/29/2016,MEM,NYK,C222,8
3929,2016-17,21600028,10/29/2016,MEM,NYK,C94,20
3930,2016-17,21600028,10/29/2016,MEM,NYK,C213,73
3931,2016-17,21600028,10/29/2016,MEM,NYK,C223,3
3932,2016-17,21600028,10/29/2016,MEM,NYK,C7,2
3933,2016-17,21600028,10/29/2016,MEM,NYK,C65,152
3934,2016-17,21600028,10/29/2016,MEM,NYK,C78,1390
3935,2016-17,21600028,10/29/2016,MEM,NYK,C174,6
3936,2016-17,21600028,10/29/2016,MEM,NYK,C13,3
3937,2016-17,21600028,10/29/2016,MEM,NYK,C24,1
3938,2016-17,21600028,10/29/2016,MEM,NYK,C3,9
3939,2016-17,21600028,10/29/2016,MEM,NYK,C123,1660
3940,2016-17,21600028,10/29/2016,MEM,NYK,C108,7
3941,2016-17,21600028,10/29/2016,MEM,NYK,C25,3
3942,2016-17,21600028,10/29/2016,MEM,NYK,C12,228
3943,2016-17,21600028,10/29/2016,MEM,NYK,C179,6
3944,2016-17,21600028,10/29/2016,MEM,NYK,C135,18
3945,2016-17,21600028,10/29/2016,MEM,NYK,C21,18
3946,2016-17,21600028,10/29/2016,MEM,NYK,C100,2
3947,2016-17,21600028,10/29/2016,MEM,NYK,C159,1
3948,2016-17,21600028,10/29/2016,MEM,NYK,C178,4
3949,2016-17,21600028,10/29/2016,MEM,NYK,C136,5
3950,2016-17,21600028,10/29/2016,MEM,NYK,C66,6
3951,2016-17,21600028,10/29/2016,MEM,NYK,C155,1360
3952,2016-17,21600028,10/29/2016,MEM,NYK,C56,81
3953,2016-17,21600028,10/29/2016,MEM,NYK,C85,24
3954,2016-17,21600028,10/29/2016,MEM,NYK,C134,41
3955,2016-17,21600028,10/29/2016,MEM,NYK,C211,295
3956,2016-17,21600028,10/29/2016,MEM,NYK,C90,1
3957,2016-17,21600028,10/29/2016,MEM,NYK,C130,148
3958,2016-17,21600028,10/29/2016,MEM,NYK,C41,226
3959,2016-17,21600028,10/29/2016,MEM,NYK,C154,756
3960,2016-17,21600028,10/29/2016,MEM,NYK,C2,24
3961,2016-17,21600028,10/29/2016,MEM,NYK,C143,1070
3962,2016-17,21600028,10/29/2016,MEM,NYK,C64,4
3963,2016-17,21600028,10/29/2016,MEM,NYK,C76,2
3964,2016-17,21600028,10/29/2016,MEM,NYK,C40,14
3965,2016-17,21600028,10/29/2016,MEM,NYK,C70,2
3966,2016-17,21600028,10/29/2016,MEM,NYK,C75,561
3967,2016-17,21600028,10/29/2016,MEM,NYK,C105,28
3968,2016-17,21600028,10/29/2016,MEM,NYK,C92,1
3969,2016-17,21600028,10/29/2016,MEM,NYK,C149,4
3970,2016-17,21600028,10/29/2016,MEM,NYK,C218,384
3971,2016-17,21600028,10/29/2016,MEM,NYK,C156,13
3972,2016-17,21600028,10/29/2016,MEM,NYK,C187,1
3973,2016-17,21600028,10/29/2016,MEM,NYK,C23,65
3974,2016-17,21600028,10/29/2016,MEM,NYK,C141,48
3975,2016-17,21600028,10/29/2016,MEM,NYK,C103,56
3976,2016-17,21600028,10/29/2016,MEM,NYK,C165,37
3977,2016-17,21600028,10/29/2016,MEM,NYK,C80,103
3978,2016-17,21600028,10/29/2016,MEM,NYK,C53,7
3979,2016-17,21600028,10/29/2016,MEM,NYK,C26,12
3980,2016-17,21600028,10/29/2016,MEM,NYK,C60,1
3981,2016-17,21600028,10/29/2016,MEM,NYK,C191,412
3982,2016-17,21600028,10/29/2016,MEM,NYK,C52,1
3983,2016-17,21600028,10/29/2016,MEM,NYK,C45,1
3984,2016-17,21600028,10/29/2016,MEM,NYK,C161,2
3985,2016-17,21600028,10/29/2016,MEM,NYK,C146,29
3986,2016-17,21600028,10/29/2016,MEM,NYK,C6,6
3987,2016-17,21600028,10/29/2016,MEM,NYK,C203,12
3988,2016-17,21600028,10/29/2016,MEM,NYK,C22,2
3989,2016-17,21600028,10/29/2016,MEM,NYK,C186,1
3990,2016-17,21600028,10/29/2016,MEM,NYK,C215,316
3991,2016-17,21600028,10/29/2016,MEM,NYK,C144,7
3992,2016-17,21600028,10/29/2016,MEM,NYK,C95,8
3993,2016-17,21600028,10/29/2016,MEM,NYK,C9,607
3994,2016-17,21600028,10/29/2016,MEM,NYK,C133,7
3995,2016-17,21600028,10/29/2016,MEM,NYK,C18,15
3996,2016-17,21600028,10/29/2016,MEM,NYK,C160,2
3997,2016-17,21600028,10/29/2016,MEM,NYK,C72,279
3998,2016-17,21600028,10/29/2016,MEM,NYK,C132,6
3999,2016-17,21600028,10/29/2016,MEM,NYK,C120,4
4000,2016-17,21600028,10/29/2016,MEM,NYK,C97,43
4001,2016-17,21600028,10/29/2016,MEM,NYK,C107,7
4002,2016-17,21600028,10/29/2016,MEM,NYK,C83,62
4003,2016-17,21600028,10/29/2016,MEM,NYK,C47,812
4004,2016-17,21600028,10/29/2016,MEM,NYK,C117,412
4005,2016-17,21600028,10/29/2016,MEM,NYK,C10,187
4006,2016-17,21600028,10/29/2016,MEM,NYK,C158,19
4007,2016-17,21600028,10/29/2016,MEM,NYK,C98,6
4008,2016-17,21600028,10/29/2016,MEM,NYK,C8,63
4009,2016-17,21600028,10/29/2016,MEM,NYK,C225,145
4010,2016-17,21600028,10/29/2016,MEM,NYK,C27,3
4011,2016-17,21600028,10/29/2016,MEM,NYK,C110,5
4012,2016-17,21600028,10/29/2016,MEM,NYK,C96,1
4013,2016-17,21600028,10/29/2016,MEM,NYK,C17,1
4014,2016-17,21600028,10/29/2016,MEM,NYK,C77,66
4015,2016-17,21600028,10/29/2016,MEM,NYK,C20,9
4016,2016-17,21600028,10/29/2016,MEM,NYK,C131,66
4017,2016-17,21600028,10/29/2016,MEM,NYK,C147,1
4018,2016-17,21600028,10/29/2016,MEM,NYK,C150,561
4019,2016-17,21600028,10/29/2016,MEM,NYK,C209,24
4020,2016-17,21600028,10/29/2016,MEM,NYK,C68,2
4021,2016-17,21600028,10/29/2016,MEM,NYK,C162,11
4022,2016-17,21600028,10/29/2016,MEM,NYK,C185,1300
4023,2016-17,21600028,10/29/2016,MEM,NYK,C210,3
4024,2016-17,21600028,10/29/2016,MEM,NYK,C119,3
4025,2016-17,21600028,10/29/2016,MEM,NYK,C86,356
4026,2016-17,21600028,10/29/2016,MEM,NYK,C33,403
4027,2016-17,21600028,10/29/2016,MEM,NYK,C49,841
4028,2016-17,21600028,10/29/2016,MEM,NYK,C69,174
4029,2016-17,21600028,10/29/2016,MEM,NYK,C153,32
4030,2016-17,21600028,10/29/2016,MEM,NYK,C157,2
4031,2016-17,21600028,10/29/2016,MEM,NYK,C207,234
4032,2016-17,21600028,10/29/2016,MEM,NYK,C61,3
4033,2016-17,21600028,10/29/2016,MEM,NYK,C102,2
4034,2016-17,21600028,10/29/2016,MEM,NYK,C152,24
4035,2016-17,21600028,10/29/2016,MEM,NYK,C79,118
4036,2016-17,21600028,10/29/2016,MEM,NYK,C114,1560
4037,2016-17,21600028,10/29/2016,MEM,NYK,C106,336
4038,2016-17,21600028,10/29/2016,MEM,NYK,C181,382
4039,2016-17,21600028,10/29/2016,MEM,NYK,C202,98
4040,2016-17,21600028,10/29/2016,MEM,NYK,C118,1
4041,2016-17,21600028,10/29/2016,MEM,NYK,C32,5
4042,2016-17,21600028,10/29/2016,MEM,NYK,C168,23
4043,2016-17,21600028,10/29/2016,MEM,NYK,C137,3
4044,2016-17,21600028,10/29/2016,MEM,NYK,C34,2
4045,2016-17,21600028,10/29/2016,MEM,NYK,C4,1
7401,2016-17,21600058,11/2/2016,HOU,NYK,C19,1
7402,2016-17,21600058,11/2/2016,HOU,NYK,C113,3
7403,2016-17,21600058,11/2/2016,HOU,NYK,C126,3
7404,2016-17,21600058,11/2/2016,HOU,NYK,C163,5
7405,2016-17,21600058,11/2/2016,HOU,NYK,C73,1
7406,2016-17,21600058,11/2/2016,HOU,NYK,C128,6
7407,2016-17,21600058,11/2/2016,HOU,NYK,C208,170
7408,2016-17,21600058,11/2/2016,HOU,NYK,C177,3
7409,2016-17,21600058,11/2/2016,HOU,NYK,C176,4500
7410,2016-17,21600058,11/2/2016,HOU,NYK,C124,113
7411,2016-17,21600058,11/2/2016,HOU,NYK,C189,2
7412,2016-17,21600058,11/2/2016,HOU,NYK,C224,12
7413,2016-17,21600058,11/2/2016,HOU,NYK,C51,6
7414,2016-17,21600058,11/2/2016,HOU,NYK,C212,9
7415,2016-17,21600058,11/2/2016,HOU,NYK,C201,2
7416,2016-17,21600058,11/2/2016,HOU,NYK,C199,203
7417,2016-17,21600058,11/2/2016,HOU,NYK,C166,2
7418,2016-17,21600058,11/2/2016,HOU,NYK,C89,2
7419,2016-17,21600058,11/2/2016,HOU,NYK,C139,5
7420,2016-17,21600058,11/2/2016,HOU,NYK,C14,14
7421,2016-17,21600058,11/2/2016,HOU,NYK,C172,1
7422,2016-17,21600058,11/2/2016,HOU,NYK,C183,939
7423,2016-17,21600058,11/2/2016,HOU,NYK,C99,4
7424,2016-17,21600058,11/2/2016,HOU,NYK,C91,17
7425,2016-17,21600058,11/2/2016,HOU,NYK,C59,3
7426,2016-17,21600058,11/2/2016,HOU,NYK,C125,1
7427,2016-17,21600058,11/2/2016,HOU,NYK,C169,1910
7428,2016-17,21600058,11/2/2016,HOU,NYK,C195,1
7429,2016-17,21600058,11/2/2016,HOU,NYK,C38,15
7430,2016-17,21600058,11/2/2016,HOU,NYK,C116,159
7431,2016-17,21600058,11/2/2016,HOU,NYK,C62,2
7432,2016-17,21600058,11/2/2016,HOU,NYK,C101,48
7433,2016-17,21600058,11/2/2016,HOU,NYK,C190,61
7434,2016-17,21600058,11/2/2016,HOU,NYK,C145,1
7435,2016-17,21600058,11/2/2016,HOU,NYK,C50,99
7436,2016-17,21600058,11/2/2016,HOU,NYK,C35,14
7437,2016-17,21600058,11/2/2016,HOU,NYK,C71,22
7438,2016-17,21600058,11/2/2016,HOU,NYK,C182,171
7439,2016-17,21600058,11/2/2016,HOU,NYK,C44,7
7440,2016-17,21600058,11/2/2016,HOU,NYK,C122,129
7441,2016-17,21600058,11/2/2016,HOU,NYK,C31,15
7442,2016-17,21600058,11/2/2016,HOU,NYK,C222,6
7443,2016-17,21600058,11/2/2016,HOU,NYK,C94,13
7444,2016-17,21600058,11/2/2016,HOU,NYK,C213,40
7445,2016-17,21600058,11/2/2016,HOU,NYK,C223,2
7446,2016-17,21600058,11/2/2016,HOU,NYK,C7,1
7447,2016-17,21600058,11/2/2016,HOU,NYK,C65,111
7448,2016-17,21600058,11/2/2016,HOU,NYK,C78,905
7449,2016-17,21600058,11/2/2016,HOU,NYK,C174,8
7450,2016-17,21600058,11/2/2016,HOU,NYK,C13,5
7451,2016-17,21600058,11/2/2016,HOU,NYK,C3,9
7452,2016-17,21600058,11/2/2016,HOU,NYK,C123,1120
7453,2016-17,21600058,11/2/2016,HOU,NYK,C108,3
